dpe_classe,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,longitude,latitude,source_type
C,97.2,32.9,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,65.9,63.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,84.9,25.3,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,83.2,65,NA,appartement,69,69008,845612.08,6517073.54,Neuf
B,48,85.6,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,82.4,65,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,67,79.3,NA,appartement,69,69008,845911.36,6515696.68,Neuf
B,48,86.1,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,76,63.2,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,96.3,26.5,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,56.1,61.4,NA,appartement,69,69008,846039.95,6516649.15,Neuf
B,84,55.4,NA,appartement,69,69008,846500.08,6516557.7,Neuf
B,50,69.7,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,75.7,63.6,NA,appartement,69,69008,845574.46,6517082.09,Neuf
B,78.4,55.3,NA,appartement,69,69008,846500.08,6516557.7,Neuf
C,77.1,64.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,69.1,83.6,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,71.3,64.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,67.2,62.5,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,67.4,26.6,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,53.6,66.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,80.3,96.1,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,72.6,63.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
